¹ÉÆ±´úÂë,Ãû³Æ,¿ªÊ¼ÈÕÆÚ,½áÊøÈÕÆÚ,ÕÇ·ù
003028,NÕñ°î,2020-12-28,2020-12-31,0.6
003028,NÕñ°î,2021-01-04,2021-01-08,-0.02
003028,NÕñ°î,2021-01-11,2021-01-15,-0.06
003028,NÕñ°î,2021-01-18,2021-01-22,-0.02
003028,NÕñ°î,2021-01-25,2021-01-29,0.03
003028,NÕñ°î,2021-02-01,2021-02-05,0.13
003028,NÕñ°î,2021-02-08,2021-02-19,0.04
003028,NÕñ°î,2021-02-22,2021-02-26,-0.12
003028,NÕñ°î,2021-03-01,2021-03-05,0.04
003028,NÕñ°î,2021-03-08,2021-03-12,-0.1
003028,NÕñ°î,2021-03-15,2021-03-19,0.06
003028,NÕñ°î,2021-03-22,2021-03-26,0.04
003028,NÕñ°î,2021-03-29,2021-04-09,0.14
003028,NÕñ°î,2021-04-12,2021-04-16,0.07
003028,NÕñ°î,2021-04-19,2021-04-19,0.06
