╧иф╠╢ЗбК,цШЁф,©╙й╪хуфз,╫АйЬхуфз,уг╥Ы
300831,NеихП,2020-05-07,2020-05-08,0.32
300831,NеихП,2020-05-11,2020-05-15,0.46
300831,NеихП,2020-05-18,2020-05-22,0.47
300831,NеихП,2020-05-25,2020-05-29,0.46
300831,NеихП,2020-06-01,2020-06-05,-0.14
300831,NеихП,2020-06-08,2020-06-12,0.06
300831,NеихП,2020-06-15,2020-06-19,-0.12
300831,NеихП,2020-06-22,2020-06-24,0.05
300831,NеихП,2020-06-29,2020-07-03,0.12
300831,NеихП,2020-07-06,2020-07-10,0.14
300831,NеихП,2020-07-13,2020-07-17,-0.22
300831,NеихП,2020-07-20,2020-07-24,-0.08
300831,NеихП,2020-07-27,2020-07-31,0.05
300831,NеихП,2020-08-03,2020-08-07,-0.04
300831,NеихП,2020-08-10,2020-08-14,-0.05
300831,NеихП,2020-08-17,2020-08-21,-0.05
300831,NеихП,2020-08-24,2020-08-28,0.06
300831,NеихП,2020-08-31,2020-09-04,0.11
300831,NеихП,2020-09-07,2020-09-11,-0.17
300831,NеихП,2020-09-14,2020-09-18,0.13
300831,NеихП,2020-09-21,2020-09-25,-0.06
300831,NеихП,2020-09-28,2020-10-09,-0.01
300831,NеихП,2020-10-12,2020-10-16,0.1
300831,NеихП,2020-10-19,2020-10-23,0.01
300831,NеихП,2020-10-26,2020-10-30,0.02
300831,NеихП,2020-11-02,2020-11-06,0.11
300831,NеихП,2020-11-09,2020-11-13,-0.0
300831,NеихП,2020-11-16,2020-11-20,-0.03
300831,NеихП,2020-11-23,2020-11-27,0.02
300831,NеихП,2020-11-30,2020-12-04,0.01
300831,NеихП,2020-12-07,2020-12-11,-0.19
300831,NеихП,2020-12-14,2020-12-18,-0.03
300831,NеихП,2020-12-21,2020-12-25,-0.06
300831,NеихП,2020-12-28,2020-12-31,0.01
300831,NеихП,2021-01-04,2021-01-08,-0.04
300831,NеихП,2021-01-11,2021-01-15,-0.05
300831,NеихП,2021-01-18,2021-01-22,-0.05
300831,NеихП,2021-01-25,2021-01-29,-0.09
300831,NеихП,2021-02-01,2021-02-05,-0.1
300831,NеихП,2021-02-08,2021-02-19,0.1
300831,NеихП,2021-02-22,2021-02-26,0.01
300831,NеихП,2021-03-01,2021-03-05,0.01
300831,NеихП,2021-03-08,2021-03-12,-0.09
300831,NеихП,2021-03-15,2021-03-19,0.1
300831,NеихП,2021-03-22,2021-03-26,-0.02
300831,NеихП,2021-03-29,2021-04-09,-0.03
300831,NеихП,2021-04-12,2021-04-16,-0.09
300831,NеихП,2021-04-19,2021-04-19,0.0
