π…∆±¥˙¬Î,√˚≥∆,ø™ º»’∆⁄,Ω· ¯»’∆⁄,’«∑˘
300920,N»Û—Ù,2020-12-25,2020-12-25,-0.0
300920,N»Û—Ù,2020-12-28,2020-12-31,-0.07
300920,N»Û—Ù,2021-01-04,2021-01-08,0.1
300920,N»Û—Ù,2021-01-11,2021-01-15,-0.08
300920,N»Û—Ù,2021-01-18,2021-01-22,0.11
300920,N»Û—Ù,2021-01-25,2021-01-29,0.03
300920,N»Û—Ù,2021-02-01,2021-02-05,0.02
300920,N»Û—Ù,2021-02-08,2021-02-19,0.04
300920,N»Û—Ù,2021-02-22,2021-02-26,0.02
300920,N»Û—Ù,2021-03-01,2021-03-05,0.04
300920,N»Û—Ù,2021-03-08,2021-03-12,-0.1
300920,N»Û—Ù,2021-03-15,2021-03-19,0.0
300920,N»Û—Ù,2021-03-22,2021-03-26,-0.02
300920,N»Û—Ù,2021-03-29,2021-04-09,-0.01
300920,N»Û—Ù,2021-04-12,2021-04-16,-0.06
300920,N»Û—Ù,2021-04-19,2021-04-19,0.01
